cpu,memory,memory_swap_in,memory_swap_out,disk_request_read,disk_request_write,interface_bytes_in,interface_bytes_out,interface_packets_in,interface_packets_out,label,label2
24.17,206.0,0.0,0.0,0.0,0.92,125895.79,962424.54,1281.88,1238.65,0,0
25.62,206.5,0.0,0.0,0.0,1.16,120718.46,996846.44,1289.01,1251.31,0,0
28.81,207.0,0.0,0.0,0.0,0.71,123442.53,960466.89,1284.73,1244.76,0,0
25.31,207.0,0.0,0.0,0.0,0.41,121797.41,957186.65,1302.78,1213.15,0,0
28.03,207.0,0.0,0.0,0.0,12.87,128781.04,997987.56,1251.82,1312.16,0,0
28.94,207.0,0.0,0.0,0.0,0.44,120227.57,1005909.82,1324.52,1306.34,0,0
27.1,207.0,0.0,0.0,0.0,0.38,122822.13,925765.08,1276.25,1104.49,0,0
26.91,207.0,0.0,0.0,0.0,0.72,124302.77,936741.23,1250.47,1230.89,0,0
25.91,207.0,0.0,0.0,0.0,0.96,124246.35,941693.45,1256.8,1205.33,0,0
26.6,207.0,0.0,0.0,0.22,13.25,123079.46,949067.28,1276.18,1345.67,0,0
26.76,207.0,0.0,0.0,0.0,0.45,124458.76,1032628.85,1361.97,1139.43,0,0
25.17,207.0,0.0,0.0,0.0,0.38,124340.61,898616.9,1315.39,1240.56,0,0
26.79,208.0,0.0,0.0,0.0,0.79,108059.58,776248.54,1400.54,1264.95,0,0
20.15,208.0,0.0,0.0,0.0,0.51,95155.39,709439.69,961.19,906.55,0,0
23.7,208.0,0.0,0.0,0.0,0.89,112402.8,880160.67,1184.65,1123.53,0,0
26.5,217.0,0.0,0.0,0.0,7.74,124343.81,951234.42,1307.72,1239.73,0,0
24.97,226.0,0.0,0.0,0.0,0.4,123761.33,967430.29,1307.52,1226.99,0,0
25.51,226.0,0.0,0.0,0.0,0.82,122680.57,949721.46,1277.98,1263.11,0,0
28.6,226.0,0.0,0.0,0.0,0.63,118320.96,904505.12,1323.94,1271.72,0,0
26.48,219.0,0.0,0.0,0.0,0.37,125571.54,984401.49,1237.87,1261.28,0,0
25.01,223.0,0.0,0.0,0.1,7.77,120126.94,985087.33,1210.42,1209.22,0,0
25.97,227.0,0.0,0.0,0.1,6.75,122911.2,964132.55,1262.28,1191.92,0,0
25.8,227.0,0.0,0.0,0.0,0.79,130457.07,872438.62,1179.75,1151.37,0,0
26.72,227.0,0.0,0.0,0.0,0.64,118005.34,1033902.6,1366.36,1477.35,0,0
24.22,208.0,0.0,0.0,0.0,0.76,120402.51,954675.76,1259.84,1256.62,0,0
26.99,208.0,0.0,0.0,0.0,0.41,128516.18,993145.39,1304.83,1266.67,0,0
26.96,208.0,0.0,0.0,0.1,7.29,123070.63,923783.55,1279.6,1225.26,0,0
24.85,208.0,0.0,0.0,0.0,1.27,126399.15,921310.24,1321.05,1209.36,0,0
